CANALE;DATA;Npdv;VALORE;QUANTITA;;;;
2;01/03/2014;16;10117333;5997046;;;;
2;01/04/2014;17;14200436;8528995;;;;
2;01/05/2014;17;13809515;8763837;;;;
2;01/06/2014;17;16915140;11006432;;;;
2;01/07/2014;17;19012704;12209653;;;;
2;01/08/2014;17;20534173;12977618;;;;
2;01/09/2014;17;13143131;8068860;;;;
2;01/10/2014;17;11885180;7298574;;;;
2;01/11/2014;17;10789164;6287044;;;;
2;01/12/2014;17;15711579;7414275;;;;
2;01/01/2015;17;10234048;6163274;;;;
2;01/02/2015;17;9517184;5847331;;;;
2;01/03/2015;17;11917258;7087034;;;;
2;01/04/2015;17;13799698;8346729;;;;
2;01/05/2015;17;14323786;8915562;;;;
2;01/06/2015;17;18146338;11820885;;;;
2;01/07/2015;17;21393288;14976412;;;;
2;01/08/2015;17;20925591;13274347;;;;
2;01/09/2015;17;14235437;9051759;;;;
2;01/10/2015;17;12110716;7319315;;;;
2;01/11/2015;17;11566144;6708987;;;;
2;01/12/2015;17;16730872;7972166;;;;
2;01/01/2016;17;10471818;6343594;;;;
2;01/02/2016;17;10477734;6430567;;;;
2;01/03/2016;17;13437202;7947671;;;;
2;01/04/2016;17;13305032;8279264;;;;
2;01/05/2016;17;14614992;9180819;;;;
2;01/06/2016;17;18439103;11808734;;;;
2;01/07/2016;17;20774861;13850131;;;;
2;01/08/2016;17;22019438;13760553;;;;
2;01/09/2016;17;14543156;9028602;;;;
2;01/10/2016;17;11868384;6896410;;;;
2;01/11/2016;17;11806896;6572145;;;;
2;01/12/2016;17;16659237;7590902;;;;
2;01/01/2017;17;10338278;6022454;;;;
2;01/02/2017;17;10763215;6208918;;;;
2;01/03/2017;17;13521525;7997364;;;;
2;01/04/2017;17;15406027;9007177;;;;
2;01/05/2017;17;15333399;9443314;;;;
2;01/06/2017;17;19502791;12960504;;;;
2;01/07/2017;17;21791620;14396785;;;;
2;01/08/2017;17;23072389;15023943;;;;
2;01/09/2017;17;14694508;8750030;;;;
2;01/10/2017;17;12978240;7436538;;;;
2;01/11/2017;17;12395757;6827707;;;;
2;01/12/2017;17;17138727;7684070;;;;
2;01/01/2018;17;10947378;6597807;;;;
2;01/02/2018;17;10052061;5975624;;;;
2;01/03/2018;17;14118323;7981991;;;;
2;01/04/2018;17;14376723;8809935;;;;
2;01/05/2018;17;16034794;9941362;;;;
2;01/06/2018;17;19299835;12337114;;;;
2;01/07/2018;17;21464385;14318129;;;;
2;01/08/2018;17;22534033;14824714;;;;
2;01/09/2018;17;14734852;9227031;;;;
2;01/10/2018;17;13415200;8010279;;;;
2;01/11/2018;18;12611395;7134171;;;;
2;01/12/2018;18;17514239;7945373;;;;
2;01/01/2019;18;11227716;6661397;;;;
2;01/02/2019;18;11064096;6563625;;;;
2;01/03/2019;18;13306274;7881194;;;;
2;01/04/2019;19;16299718;9451874;;;;
2;01/05/2019;19;15010123;8986552;;;;
2;01/06/2019;19;19981089;13144755;;;;
2;01/07/2019;19;22596417;14922389;;;;
2;01/08/2019;19;23242308;14750780;;;;
2;01/09/2019;19;15143433;9226612;;;;
2;01/10/2019;19;13925443;8192512;;;;
2;01/11/2019;19;12676642;6941840;;;;
2;01/12/2019;19;17889581;7973439;;;;
2;01/01/2020;19;12003728;6991422;;;;
2;01/02/2020;19;12054986;7096397;;;;
2;01/03/2020;19;9653468;6813622;;;;
2;01/04/2020;19;9984338;7260069;;;;
2;01/05/2020;19;12712917;8556850;;;;
2;01/06/2020;19;17873125;11399142;;;;
2;01/07/2020;19;22182601;14448027;;;;
2;01/08/2020;19;23473880;15303923;;;;
2;01/09/2020;19;16390412;10022435;;;;
2;01/10/2020;19;13175511;7626956;;;;
2;01/11/2020;19;10353938;6247092;;;;
2;01/12/2020;19;14867640;7119399;;;;
2;01/01/2021;19;9177603;5745382;;;;
2;01/02/2021;19;10396269;6288206;;;;
